MuestraID,Blanco-Cu ppm,MuestraPrevID,Mprev Cu ppm,LoteLabID,FechaReporte,Type
15,10,14,642,1,08-02-14,BF
51,10,50,171,1,08-02-14,BF
88,10,87,108,1,08-02-14,BF
115,10,114,10,1,08-02-14,BF
151,10,150,34,2,08-02-14,BF
188,10,187,27,2,08-02-14,BF
215,10,214,49,2,08-02-14,BF
251,10,250,10,3,09-02-14,BF
351,10,350,10,3,09-02-14,BF
388,10,387,19,4,10-02-14,BF
451,10,450,10,4,10-02-14,BF
488,10,487,44,7,11-02-14,BF
551,10,550,144,7,11-02-14,BF
588,10,587,19,7,11-02-14,BF
651,10,650,131,9,11-02-14,BF
688,10,687,17,9,11-02-14,BF
751,10,750,10,11,13-02-14,BF
788,10,787,188,11,13-02-14,BF
851,10,850,85,13,13-02-14,BF
888,10,887,13,13,13-02-14,BF
951,10,950,10,13,13-02-14,BF
1051,10,1050,110,14,17-02-14,BF
1088,10,1087,21,16,18-02-14,BF
1151,10,1150,91,16,18-02-14,BF
1188,10,1187,25,16,18-02-14,BF
1251,10,1250,10,17,19-02-14,BF
1288,10,1287,78,17,19-02-14,BF
1351,10,1350,27,18,19-02-14,BF
1388,10,1387,32,18,19-02-14,BF
1451,10,1450,53,28,24-02-14,BF
1488,10,1487,32,28,24-02-14,BF
1515,10,1514,38,28,24-02-14,BF
1551,10,1550,44,28,24-02-14,BF
1588,10,1587,10,29,25-02-14,BF
1615,10,1614,25,29,25-02-14,BF
1651,10,1650,279,29,25-02-14,BF
1688,10,1687,78,30,25-02-14,BF
1715,10,1714,150,30,25-02-14,BF
1751,10,1750,175,30,25-02-14,BF
1788,10,1787,17,30,25-02-14,BF
1815,10,1814,10,31,26-02-14,BF
1851,10,1850,42,31,26-02-14,BF
1888,10,1887,27,31,26-02-14,BF
1915,10,1914,23,31,26-02-14,BF
1951,10,1950,63,32,26-02-14,BF
1988,10,1987,545,32,26-02-14,BF
2015,10,2014,89,32,26-02-14,BF
2051,10,2050,209,33,26-02-14,BF
2088,10,2087,391,33,26-02-14,BF
2151,10,2150,150,33,26-02-14,BF
2188,10,2187,264,34,27-02-14,BF
2215,10,2214,277,34,27-02-14,BF
2251,10,2250,10,34,27-02-14,BF
2288,10,2287,63,35,27-02-14,BF
2315,10,2314,25,35,27-02-14,BF
2351,10,2350,49,35,27-02-14,BF
2388,10,2387,188,35,27-02-14,BF
2415,10,2414,21,41,02-03-14,BF
2451,10,2450,79,41,02-03-14,BF
2488,10,2487,267,41,02-03-14,BF
2515,10,2514,170,41,02-03-14,BF
2551,10,2550,15,42,03-03-14,BF
2588,10,2587,30,42,03-03-14,BF
2615,10,2614,114,42,03-03-14,BF
2651,10,2650,10,43,03-03-14,BF
2688,10,2687,21,43,03-03-14,BF
2715,10,2714,17,43,03-03-14,BF
2751,10,2750,586,43,03-03-14,BF
2788,10,2787,319,44,04-04-14,BF
2815,10,2814,232,44,04-04-14,BF
2851,10,2850,302,44,04-04-14,BF
2888,10,2887,63,45,04-03-14,BF
2915,10,2914,17,45,04-03-14,BF
2951,10,2950,241,45,04-03-14,BF
2988,10,2987,418,45,04-03-14,BF
3015,10,3014,457,46,05-03-14,BF
3051,10,3050,79,46,05-03-14,BF
3088,10,3087,35,46,05-03-14,BF
3115,10,3114,28,46,05-03-14,BF
3151,10,3150,600,47,05-03-14,BF
3188,10,3187,133,47,05-03-14,BF
3215,10,3214,270,47,05-03-14,BF
3251,10,3250,381,49,06-03-14,BF
3288,10,3287,21,49,06-03-14,BF
3315,10,3314,42,49,06-03-14,BF
3351,10,3350,15,49,06-03-14,BF
3388,10,3387,53,50,07-03-14,BF
3415,10,3414,10,50,07-03-14,BF
3451,10,3450,270,50,07-03-14,BF
3488,10,3487,63,51,07-03-14,BF
3515,10,3514,21,51,07-03-14,BF
3551,10,3550,21,51,07-03-14,BF
3588,10,3587,42,51,07-03-14,BF
3615,10,3614,10,52,08-03-14,BF
3651,10,3650,40,52,08-03-14,BF
3688,10,3687,51,52,08-03-14,BF
3715,10,3714,148,52,08-03-14,BF
3751,10,3750,53,53,08-03-14,BF
3788,10,3787,367,53,08-03-14,BF
3815,10,3814,68,53,08-03-14,BF
3851,10,3850,21,54,09-03-14,BF
3888,10,3887,84,54,09-03-14,BF
3915,10,3914,63,54,09-03-14,BF
3951,10,3950,85,54,09-03-14,BF
3988,10,3987,10,60,12-03-14,BF
4015,10,4014,241,60,12-03-14,BF
4051,10,4050,10,60,12-03-14,BF
4088,10,4087,80,61,13-03-14,BF
4115,10,4114,55,61,13-03-14,BF
4151,10,4150,10,61,13-03-14,BF
4188,10,4187,93,61,13-03-14,BF
4215,10,4214,10,62,13-03-14,BF
4251,10,4250,10,62,13-03-14,BF
