MuestraOriginal,Orig Cu ppm,MuestraDuplicado,Dup Cu ppm,LoteLabID,FechaReporte,Control Type
19,86,25,81,1,41883,DC
74,5,75,5,1,41883,DC
124,49,125,30,2,41883,DC
174,11,175,11,2,41883,DC
219,41,225,38,2,41883,DC
274,64,275,59,3,41884,DC
319,5,325,5,3,41884,DC
374,46,375,32,4,41884,DC
419,13,425,15,4,41884,DC
474,15,475,15,4,41884,DC
519,264,525,233,7,41886,DC
574,192,575,210,7,41886,DC
616,36,625,44,9,41887,DC
674,19,675,19,9,41887,DC
719,211,725,214,9,41887,DC
769,76,775,82,11,41888,DC
819,5,825,5,11,41888,DC
874,25,875,17,13,41889,DC
919,19,925,17,13,41889,DC
974,32,975,36,14,41889,DC
1023,36,1025,27,14,41889,DC
1074,97,1075,97,14,41889,DC
1119,40,1125,36,16,41890,DC
1174,72,1175,80,16,41890,DC
1219,53,1225,34,17,41891,DC
1274,23,1275,15,17,41891,DC
1319,29,1325,40,17,41891,DC
1369,106,1375,106,18,41689,DC
1423,40,1425,38,18,41689,DC
1472,13,1475,13,28,41694,DC
1519,42,1525,46,28,41694,DC
1574,230,1575,222,29,41695,DC
1619,53,1625,61,29,41695,DC
1674,49,1675,40,29,41695,DC
1719,42,1725,42,30,41695,DC
1774,5,1775,5,30,41695,DC
1820,99,1825,101,31,41696,DC
1874,131,1875,91,31,41696,DC
1919,479,1925,725,31,41696,DC
1972,543,1975,539,32,41696,DC
2019,63,2025,63,32,41696,DC
2074,209,2075,203,33,41696,DC
2117,47,2125,44,33,41696,DC
2174,38,2175,25,34,41697,DC
2219,97,2225,55,34,41697,DC
2274,27,2275,27,34,41697,DC
2419,5,2425,5,41,41700,DC
2474,54,2475,49,41,41700,DC
2519,35,2525,30,41,41700,DC
2574,38,2575,30,42,41701,DC
2619,51,2625,70,42,41701,DC
2674,5,2675,5,43,41701,DC
2719,15,2725,19,43,41701,DC
2774,5,2775,5,44,41733,DC
2819,27,2825,15,44,41733,DC
2874,167,2875,186,44,41733,DC
2918,334,2925,365,45,41702,DC
2974,42,2975,42,45,41702,DC
3019,105,3025,93,46,41703,DC
3074,21,3075,21,46,41703,DC
3119,28,3125,44,46,41703,DC
3174,19,3175,19,47,41703,DC
3219,25,3225,27,47,41703,DC
3274,44,3275,53,49,41704,DC
3319,159,3325,188,49,41704,DC
3374,51,3375,46,50,41705,DC
3419,49,3425,49,50,41705,DC
3474,89,3475,5,50,41705,DC
3505,232,3525,232,51,41705,DC
3574,275,3575,275,51,41705,DC
3619,23,3625,25,52,41706,DC
3674,158,3675,167,52,41706,DC
3719,123,3725,148,52,41706,DC
3774,264,3775,279,53,41706,DC
3819,21,3825,21,53,41706,DC
3878,21,3875,21,54,41707,DC
3919,233,3925,254,54,41707,DC
3974,233,3975,241,60,41710,DC
4019,165,4025,192,60,41710,DC
4074,49,4075,42,60,41710,DC
4119,5,4125,5,61,41711,DC
4174,42,4175,34,61,41711,DC
4219,5,4225,5,62,41711,DC
4274,5,4275,5,62,41711,DC
4319,30,4325,40,62,41711,DC
4374,68,4375,76,63,41712,DC
4424,253,4425,239,63,41712,DC
4474,19,4475,13,64,41712,DC
4519,19,4525,27,64,41712,DC
4573,13,4575,5,65,41713,DC
4619,233,4625,228,65,41713,DC
4672,13,4675,13,65,41713,DC
4719,122,4725,182,71,41716,DC
4774,178,4775,175,71,41716,DC
4819,585,4825,570,72,41718,DC
4874,192,4875,192,72,41718,DC
4919,15,4925,5,72,41718,DC
4974,51,4975,51,73,41719,DC
5019,5,5025,5,5,41885,DC
5074,25,5075,23,5,41885,DC
5119,155,5125,211,5,41885,DC
5174,15,5175,17,6,41885,DC
5219,11,5225,25,6,41885,DC
5274,188,5275,196,8,41681,DC
5319,5,5325,5,8,41886,DC
5367,47,5375,320,10,41887,DC
5419,5,5425,5,10,41887,DC
5474,57,5475,57,10,41681,DC
5519,30,5525,40,12,41888,DC
5574,40,5575,42,12,41888,DC
5620,47,5625,55,15,41890,DC
5674,23,5675,21,15,41890,DC
5720,44,5725,53,15,41890,DC
5770,25,5775,32,19,41689,DC
5822,27,5825,25,19,41689,DC
5874,55,5875,63,20,41690,DC
5923,46,5925,46,20,41690,DC
5974,72,5975,72,21,41691,DC
6019,40,6025,42,21,41691,DC
6074,175,6075,178,21,41691,DC
6119,40,6125,38,22,41691,DC
6174,59,6175,61,22,41691,DC
6223,5,6225,5,23,41692,DC
6270,49,6275,59,23,41692,DC
6319,262,6325,266,23,41692,DC
6372,759,6375,748,24,41692,DC
6419,78,6425,76,24,41692,DC
6474,21,6475,21,25,41692,DC
6519,30,6525,38,25,41692,DC
6573,110,6575,95,26,41693,DC
6619,108,6625,104,26,41693,DC
6674,51,6675,47,26,41693,DC
6719,44,6725,61,27,41693,DC
6774,27,6775,25,27,41693,DC
6819,5,6825,5,36,41698,DC
6874,5,6875,5,36,41698,DC
6919,374,6925,330,36,41698,DC
6974,34,6975,27,37,41698,DC
7019,103,7025,106,37,41698,DC
7074,562,7075,574,38,41699,DC
7121,19,7125,25,38,41699,DC
7174,5,7175,5,39,41699,DC
7219,56,7225,47,39,41699,DC
7274,21,7275,23,39,41699,DC
7319,15,7325,15,40,41700,DC
7374,5,7375,5,40,41700,DC
7419,63,7425,5,48,41704,DC
7474,28,7475,19,48,41704,DC
7519,5,7525,5,48,41704,DC
7574,5,7575,5,55,41707,DC
7616,197,7625,192,55,41707,DC
7674,5,7675,5,56,41708,DC
7719,455,7725,484,56,41708,DC
7774,120,7775,116,57,41708,DC
7818,144,7825,116,57,41708,DC
7872,5,7875,5,57,41708,DC
7919,82,7925,91,58,41709,DC
7974,277,7975,294,58,41709,DC
8019,70,8025,82,59,41710,DC
8074,23,8075,30,59,41710,DC
8119,133,8125,123,59,41710,DC
8174,46,8175,46,66,41713,DC
8219,5,8225,5,66,41713,DC
8274,275,8275,271,67,41714,DC
8319,110,8325,87,67,41714,DC
8374,19,8375,13,68,41714,DC
8419,46,8425,47,68,41714,DC
8474,36,8475,27,68,41714,DC
8519,27,8525,25,69,41715,DC
8574,137,8575,133,69,41715,DC
8624,935,8625,1081,70,41715,DC
8674,36,8675,36,70,41715,DC
8719,36,8725,17,70,41715,DC
8774,5,8775,5,77,41721,DC
8819,44,8825,40,77,41721,DC
8874,13,8875,19,78,41725,DC
8919,19,8925,23,78,41725,DC
8974,13,8975,13,79,41727,DC
9019,13,9025,27,79,41727,DC
9074,36,9075,19,79,41727,DC
9119,93,9125,95,80,41729,DC
9174,5,9175,5,80,41729,DC
9219,21,9225,27,89,41743,DC
9274,27,9275,21,89,41743,DC
9319,5,9325,5,89,41743,DC
9373,30,9375,23,90,41743,DC
9420,5,9425,5,90,41743,DC
9474,57,9475,59,91,41744,DC
9519,5,9525,5,91,41744,DC
9574,21,9575,21,92,41745,DC
9619,44,9625,42,92,41745,DC
9674,5,9675,5,92,41745,DC
9719,19,9725,19,93,41745,DC
9774,66,9775,66,93,41745,DC
9819,49,9825,46,99,41748,DC
9874,171,9875,167,99,41748,DC
9920,5,9925,5,99,41748,DC
9974,68,9975,68,100,41749,DC
10019,30,10025,30,73,41719,DC
10074,91,10075,91,74,41719,DC
10119,131,10125,110,74,41719,DC
10174,245,10175,239,75,41720,DC
10219,5,10225,15,75,41720,DC
10273,21,10275,21,75,41720,DC
10319,38,10325,40,76,41720,DC
10374,32,10375,40,76,41720,DC
10419,40,10425,40,81,41735,DC
10473,5,10475,5,81,41735,DC
10518,913,10525,989,81,41735,DC
10574,53,10575,53,82,41736,DC
10618,28,10625,21,82,41736,DC
10674,19,10675,21,83,41737,DC
10719,68,10725,89,83,41737,DC
10774,5,10775,5,84,41738,DC
10819,78,10825,76,84,41738,DC
10874,27,10875,23,84,41738,DC
10919,17,10925,15,85,41739,DC
10974,61,10975,61,85,41739,DC
11018,51,11025,49,86,41740,DC
11074,30,11075,53,86,41740,DC
11119,32,11125,40,86,41740,DC
11166,46,11175,46,87,41742,DC
11219,5,11225,5,87,41742,DC
11274,5,11275,5,88,41742,DC
11319,49,11325,42,88,41742,DC
11374,112,11375,106,94,41746,DC
11419,5,11425,5,94,41746,DC
11474,5,11475,5,94,41746,DC
11519,114,11525,110,95,41746,DC
11574,51,11575,49,95,41746,DC
11619,5,11625,5,96,41747,DC
11674,5,11675,5,96,41747,DC
11719,5,11725,5,96,41747,DC
11771,5,11775,5,97,41747,DC
11820,5,11825,11,97,41747,DC
11874,5,11875,5,98,41748,DC
11919,19,11925,5,98,41748,DC
11966,222,11975,237,105,41751,DC
12008,5,12025,11,105,41751,DC
12074,5,12075,5,105,41751,DC
12119,19,12125,19,106,41752,DC
12174,5,12175,5,106,41752,DC
12219,27,12225,27,107,41752,DC
12274,13,12275,11,107,41752,DC
12316,5,12325,5,107,41752,DC
12369,5,12375,5,108,41753,DC
12419,32,12425,32,108,41753,DC
12474,5,12475,5,109,41753,DC
12519,19,12525,17,109,41753,DC
12574,5,12575,5,110,41754,DC
12619,5,12625,5,110,41754,DC
12674,5,12675,5,110,41754,DC
12719,5,12725,5,117,41757,DC
12774,5,12775,5,117,41757,DC
15019,5,15025,5,100,41749,DC
15074,27,15075,21,101,41749,DC
15119,5,15125,5,101,41749,DC
15174,5,15175,5,102,41750,DC
15219,5,15225,13,102,41750,DC
15274,13,15275,13,102,41750,DC
15319,34,15325,27,103,41750,DC
15374,5,15375,5,103,41750,DC
15419,5,15425,5,104,41751,DC
15473,5,15475,5,104,41751,DC
15519,5,15525,5,104,41751,DC
15574,5,15575,5,111,41754,DC
15619,5,15625,5,111,41754,DC
15674,5,15675,5,112,41755,DC
15719,5,15725,5,112,41755,DC
15774,5,15775,5,113,41755,DC
15819,5,15825,13,113,41755,DC
15874,11,15875,5,113,41755,DC
15919,5,15925,5,114,41756,DC
15974,5,15975,5,114,41756,DC
16019,5,16025,5,115,41756,DC
16074,5,16075,5,115,41756,DC
16119,5,16125,13,115,41756,DC
16173,5,16175,5,116,41757,DC
70019,5,70025,5,118,41717,DC
70074,5,70075,5,118,41717,DC
70119,34,70125,15,118,41717,DC
70174,34,70175,34,121,41722,DC
70219,25,70225,21,121,41722,DC
70274,17,70275,19,123,41723,DC
70319,5,70325,5,123,41723,DC
70371,5,70375,5,125,41724,DC
70419,5,70425,5,125,41724,DC
70474,5,70475,5,125,41724,DC
70519,13,70525,15,127,41725,DC
70574,30,70575,30,127,41725,DC
70619,334,70625,332,130,41727,DC
70674,161,70675,167,130,41727,DC
70719,13,70725,13,130,41727,DC
70773,13,70775,13,131,41728,DC
70819,15,70825,13,131,41728,DC
70874,5,70875,13,132,41728,DC
70919,230,70925,220,132,41728,DC
70974,61,70975,61,134,41729,DC
71019,5,71025,15,134,41729,DC
71074,13,71075,15,134,41729,DC
71124,25,71125,25,137,41737,DC
71174,112,71175,112,137,41737,DC
71219,34,71225,34,138,41739,DC
71274,5,71275,5,138,41739,DC
75019,5,75025,5,119,41718,DC
75074,25,75075,32,119,41718,DC
75119,70,75125,106,119,41718,DC
75173,72,75175,74,120,41721,DC
75220,78,75225,80,120,41721,DC
75273,13,75275,27,122,41722,DC
75319,19,75325,27,122,41722,DC
75374,5,75375,5,124,41723,DC
75419,5,75425,5,124,41723,DC
75474,23,75475,23,124,41723,DC
75519,304,75525,313,126,41724,DC
75574,169,75575,173,126,41724,DC
75619,74,75625,66,128,41726,DC
75674,74,75675,80,128,41726,DC
75719,186,75725,188,128,41726,DC
75773,87,75775,93,129,41726,DC
75819,27,75825,34,129,41726,DC
75874,66,75875,61,133,41729,DC
75919,289,75925,307,133,41729,DC
75974,49,75975,49,135,41734,DC
76019,5,76025,5,135,41734,DC
76074,5,76075,5,135,41734,DC
76119,40,76125,36,136,41736,DC
76174,5,76175,5,136,41736,DC
80024,522,80025,554,139,41739,DC
80073,186,80075,270,139,41739,DC
80119,146,80125,154,139,41739,DC
80174,171,80175,184,140,41741,DC
80219,459,80225,443,140,41741,DC
80274,5,80275,5,141,41741,DC
80319,13,80325,11,141,41741,DC
80374,125,80375,120,142,41742,DC
