MuestraOriginal,Orig Cu ppm,MuestraDuplicado,Dup Cu ppm,LoteLabID,FechaReporte,Control Type
19,86,26,136,1,41883,DG
74,5,76,5,1,41883,DG
124,49,126,47,2,41883,DG
219,41,226,44,2,41883,DG
274,64,276,59,3,41884,DG
319,5,326,5,3,41884,DG
374,46,376,38,4,41884,DG
419,13,426,11,4,41884,DG
474,15,476,5,4,41884,DG
519,264,526,241,7,41886,DG
574,192,576,49,7,41886,DG
624,64,626,63,9,41887,DG
674,19,676,19,9,41887,DG
719,211,726,211,9,41887,DG
771,23,776,25,11,41888,DG
819,5,826,5,11,41888,DG
874,25,876,21,13,41889,DG
919,19,926,17,13,41889,DG
974,32,976,36,14,41889,DG
1023,36,1026,32,14,41889,DG
1074,97,1076,93,14,41889,DG
1119,40,1126,49,16,41890,DG
1174,72,1176,70,16,41890,DG
1219,53,1226,42,17,41891,DG
1274,23,1276,19,17,41891,DG
1319,29,1326,36,17,41891,DG
1369,106,1376,106,18,41689,DG
1423,40,1426,32,18,41689,DG
1472,13,1476,13,28,41694,DG
1519,42,1526,44,28,41694,DG
1574,230,1576,232,29,41695,DG
1619,53,1626,60,29,41695,DG
1674,49,1676,55,29,41695,DG
1719,42,1726,36,30,41695,DG
1774,5,1776,5,30,41695,DG
1820,99,1826,103,31,41696,DG
1874,131,1876,127,31,41696,DG
1919,479,1926,482,31,41696,DG
1972,543,1976,551,32,41696,DG
2019,63,2026,57,32,41696,DG
2074,209,2076,211,33,41696,DG
2117,47,2126,38,33,41696,DG
2174,38,2176,25,34,41697,DG
2219,97,2226,97,34,41697,DG
2274,27,2276,30,34,41697,DG
2419,5,2426,5,41,41700,DG
2474,54,2476,142,41,41700,DG
2574,38,2576,38,42,41701,DG
2619,51,2626,75,42,41701,DG
2674,5,2676,5,43,41701,DG
2719,15,2726,15,43,41701,DG
2774,5,2776,5,44,41733,DG
2819,27,2826,27,44,41733,DG
2874,167,2876,171,44,41733,DG
2918,334,2926,352,45,41702,DG
2974,42,2976,40,45,41702,DG
3019,105,3026,91,46,41703,DG
3074,21,3076,21,46,41703,DG
3119,28,3126,44,46,41703,DG
3174,19,3176,19,47,41703,DG
3219,25,3226,25,47,41703,DG
3274,44,3276,49,49,41704,DG
3319,159,3326,161,49,41704,DG
3374,51,3376,53,50,41705,DG
3419,49,3426,49,50,41705,DG
3474,89,3476,72,50,41705,DG
3505,232,3526,232,51,41705,DG
3574,275,3576,275,51,41705,DG
3619,23,3626,23,52,41706,DG
3674,158,3676,180,52,41706,DG
3719,123,3726,144,52,41706,DG
3774,264,3776,279,53,41706,DG
3819,21,3826,25,53,41706,DG
3878,21,3876,21,54,41707,DG
3919,233,3926,224,54,41707,DG
3974,233,3976,239,60,41710,DG
4019,165,4026,144,60,41710,DG
4074,49,4076,36,60,41710,DG
4119,5,4126,5,61,41711,DG
4174,42,4176,38,61,41711,DG
4219,5,4226,5,62,41711,DG
4274,5,4276,5,62,41711,DG
