MuestraOriginal,Orig Cu ppm,MuestraDuplicado,Dup Cu ppm,LoteLabID,FechaReporte,Control Type
19,86,27,80,1,01-09-14,DP
74,5,77,5,1,01-09-14,DP
124,49,127,47,2,01-09-14,DP
174,11,177,11,2,01-09-14,DP
219,41,227,54,2,01-09-14,DP
274,64,277,64,3,02-09-14,DP
319,5,327,5,3,02-09-14,DP
374,46,377,34,4,02-09-14,DP
419,13,427,11,4,02-09-14,DP
474,15,477,5,4,02-09-14,DP
524,65,527,51,7,04-09-14,DP
574,192,577,211,7,04-09-14,DP
624,64,627,61,9,05-09-14,DP
674,19,677,32,9,05-09-14,DP
719,211,727,213,9,05-09-14,DP
769,76,777,80,11,06-09-14,DP
819,5,827,5,11,06-09-14,DP
874,25,877,21,13,07-09-14,DP
919,19,927,11,13,07-09-14,DP
974,32,977,34,14,07-09-14,DP
1023,36,1027,30,14,07-09-14,DP
1074,97,1077,85,14,07-09-14,DP
1119,40,1127,34,16,08-09-14,DP
1174,72,1177,80,16,08-09-14,DP
1219,53,1227,34,17,09-09-14,DP
1274,23,1277,15,17,09-09-14,DP
1319,29,1327,38,17,09-09-14,DP
1369,106,1377,104,18,19-02-14,DP
1423,40,1427,42,18,19-02-14,DP
1472,13,1477,15,28,24-02-14,DP
1519,42,1527,44,28,24-02-14,DP
1574,230,1577,234,29,25-02-14,DP
1619,53,1627,59,29,25-02-14,DP
1674,49,1677,55,29,25-02-14,DP
1719,42,1727,38,30,25-02-14,DP
1774,5,1777,5,30,25-02-14,DP
1820,99,1827,105,31,26-02-14,DP
1874,131,1877,127,31,26-02-14,DP
1919,479,1927,487,31,26-02-14,DP
1972,543,1977,542,32,26-02-14,DP
2019,63,2027,57,32,26-02-14,DP
2074,209,2077,209,33,26-02-14,DP
2117,47,2127,40,33,26-02-14,DP
2174,38,2177,27,34,27-02-14,DP
2219,97,2227,95,34,27-02-14,DP
2274,27,2277,32,34,27-02-14,DP
2319,25,2327,23,35,27-02-14,DP
2374,5,2377,5,35,27-02-14,DP
2419,5,2427,5,41,02-03-14,DP
2474,54,2477,53,41,02-03-14,DP
2519,35,2527,32,41,02-03-14,DP
2574,38,2577,36,42,03-03-14,DP
2619,51,2627,76,42,03-03-14,DP
2674,5,2677,5,43,03-03-14,DP
2719,15,2727,15,43,03-03-14,DP
2774,5,2777,5,44,04-04-14,DP
2819,27,2827,27,44,04-04-14,DP
2874,167,2877,175,44,04-04-14,DP
2919,36,2927,36,45,04-03-14,DP
2974,42,2977,42,45,04-03-14,DP
3019,105,3027,93,46,05-03-14,DP
3074,21,3077,21,46,05-03-14,DP
3119,28,3127,47,46,05-03-14,DP
3174,19,3177,19,47,05-03-14,DP
3219,25,3227,27,47,05-03-14,DP
3274,44,3277,51,49,06-03-14,DP
3319,159,3327,158,49,06-03-14,DP
3374,51,3377,51,50,07-03-14,DP
3419,49,3427,44,50,07-03-14,DP
3474,89,3477,74,50,07-03-14,DP
3505,232,3527,232,51,07-03-14,DP
3574,275,3577,275,51,07-03-14,DP
3619,23,3627,21,52,08-03-14,DP
3674,158,3677,177,52,08-03-14,DP
3719,123,3727,140,52,08-03-14,DP
3774,264,3777,275,53,08-03-14,DP
3819,21,3827,21,53,08-03-14,DP
3878,21,3877,21,54,09-03-14,DP
3919,233,3927,232,54,09-03-14,DP
3974,233,3977,232,60,12-03-14,DP
4019,165,4027,148,60,12-03-14,DP
4074,49,4077,36,60,12-03-14,DP
4119,5,4127,5,61,13-03-14,DP
4174,42,4177,36,61,13-03-14,DP
4219,5,4227,5,62,13-03-14,DP
4274,5,4277,5,62,13-03-14,DP
4319,30,4327,51,62,13-03-14,DP
4374,68,4377,74,63,14-03-14,DP
4424,253,4427,249,63,14-03-14,DP
4474,19,4477,19,64,14-03-14,DP
4519,19,4527,25,64,14-03-14,DP
4573,13,4577,11,65,15-03-14,DP
4619,233,4627,233,65,15-03-14,DP
4672,13,4677,13,65,15-03-14,DP
4719,122,4727,125,71,18-03-14,DP
4774,178,4777,177,71,18-03-14,DP
4819,585,4827,567,72,20-03-14,DP
4874,192,4877,194,72,20-03-14,DP
4919,15,4927,5,72,20-03-14,DP
4974,51,4977,51,73,21-03-14,DP
5019,5,5027,5,5,03-09-14,DP
5074,25,5077,23,5,03-09-14,DP
5119,155,5127,144,5,03-09-14,DP
5174,15,5177,15,6,03-09-14,DP
5219,11,5227,17,6,03-09-14,DP
5274,188,5277,181,8,11-02-14,DP
5319,5,5327,5,8,04-09-14,DP
5374,47,5377,42,10,05-09-14,DP
5419,5,5427,5,10,05-09-14,DP
5474,57,5477,53,10,11-02-14,DP
5519,30,5527,40,12,06-09-14,DP
5574,40,5577,46,12,06-09-14,DP
5620,47,5627,51,15,08-09-14,DP
5674,23,5677,25,15,08-09-14,DP
5720,44,5727,53,15,08-09-14,DP
5770,25,5777,27,19,19-02-14,DP
5822,27,5827,5,19,19-02-14,DP
5874,55,5877,63,20,20-02-14,DP
5919,541,5927,550,20,20-02-14,DP
5974,72,5977,74,21,21-02-14,DP
6019,40,6027,44,21,21-02-14,DP
6074,175,6077,175,21,21-02-14,DP
6119,40,6127,38,22,21-02-14,DP
6174,59,6177,59,22,21-02-14,DP
6223,5,6227,5,23,22-02-14,DP
6270,49,6277,51,23,22-02-14,DP
6319,262,6327,270,23,22-02-14,DP
6372,759,6377,757,24,22-02-14,DP
6419,78,6427,68,24,22-02-14,DP
6474,21,6477,23,25,22-02-14,DP
6519,30,6527,36,25,22-02-14,DP
6573,110,6577,106,26,23-02-14,DP
6619,108,6627,102,26,23-02-14,DP
6674,51,6677,53,26,23-02-14,DP
6774,27,6777,39,27,23-02-14,DP
6819,5,6827,5,36,28-02-14,DP
6874,5,6877,5,36,28-02-14,DP
6919,374,6927,382,36,28-02-14,DP
6974,34,6977,32,37,28-02-14,DP
7019,103,7027,104,37,28-02-14,DP
7074,562,7077,567,38,01-03-14,DP
7121,19,7127,25,38,01-03-14,DP
7174,5,7177,5,39,01-03-14,DP
7219,56,7227,58,39,01-03-14,DP
7274,21,7277,25,39,01-03-14,DP
7319,15,7327,15,40,02-03-14,DP
7374,5,7377,5,40,02-03-14,DP
7419,63,7427,53,48,06-03-14,DP
7474,28,7477,33,48,06-03-14,DP
7519,5,7527,5,48,06-03-14,DP
7574,5,7577,5,55,09-03-14,DP
7616,197,7627,209,55,09-03-14,DP
7674,5,7677,5,56,10-03-14,DP
7719,455,7727,469,56,10-03-14,DP
7774,120,7777,118,57,10-03-14,DP
7818,144,7827,148,57,10-03-14,DP
7872,5,7877,5,57,10-03-14,DP
7919,82,7927,89,58,11-03-14,DP
7974,277,7977,289,58,11-03-14,DP
8019,70,8027,78,59,12-03-14,DP
8074,23,8077,25,59,12-03-14,DP
8119,133,8127,131,59,12-03-14,DP
8174,46,8177,46,66,15-03-14,DP
8219,5,8227,5,66,15-03-14,DP
8274,275,8277,281,67,16-03-14,DP
8319,110,8327,103,67,16-03-14,DP
8374,19,8377,13,68,16-03-14,DP
8419,46,8427,47,68,16-03-14,DP
8474,36,8477,27,68,16-03-14,DP
8519,27,8527,27,69,17-03-14,DP
8574,137,8577,139,69,17-03-14,DP
8624,935,8627,1011,70,17-03-14,DP
8674,36,8677,36,70,17-03-14,DP
8719,36,8727,25,70,17-03-14,DP
8774,5,8777,5,77,23-03-14,DP
8819,44,8827,46,77,23-03-14,DP
8874,13,8877,19,78,27-03-14,DP
