MuestraControl,LoteLabID,FechaReporte,MuestraID,Cu ppm
STD10,18,19-02-14,1393,435
STD10,18,19-02-14,1330,441
STD10,18,19-02-14,1365,437
STD10,18,19-02-14,1430,435
STD10,19,19-02-14,5730,439
STD10,19,19-02-14,5793,435
STD10,19,19-02-14,5830,437
STD10,19,19-02-14,5765,438
STD10,20,20-02-14,5930,439
STD10,20,20-02-14,5865,435
STD10,20,20-02-14,5893,432
STD10,21,21-02-14,5993,438
STD10,21,21-02-14,6030,423
STD10,21,21-02-14,6065,433
STD10,21,21-02-14,5965,435
STD10,22,21-02-14,6093,434
STD10,22,21-02-14,6130,431
STD10,22,21-02-14,6165,435
STD10,22,21-02-14,6193,429
STD10,23,22-02-14,6265,424
STD10,23,22-02-14,6230,429
STD10,23,22-02-14,6293,431
STD10,24,22-02-14,6330,444
STD10,24,22-02-14,6393,433
STD10,24,22-02-14,6365,431
STD10,24,22-02-14,6430,431
STD10,25,22-02-14,6530,423
STD10,25,22-02-14,6493,431
STD10,25,22-02-14,6465,427
STD10,26,23-02-14,6565,429
STD10,26,23-02-14,6630,429
STD10,26,23-02-14,6665,446
STD10,27,23-02-14,6765,425
STD10,27,23-02-14,6730,433
STD10,27,23-02-14,6693,425
STD10,27,23-02-14,6793,438
STD10,28,24-02-14,1465,431
STD10,28,24-02-14,1493,435
STD10,28,24-02-14,1530,431
STD10,29,25-02-14,1665,435
STD10,29,25-02-14,1630,433
STD10,29,25-02-14,1593,427
STD10,29,25-02-14,1565,433
STD10,30,25-02-14,1765,412
STD10,30,25-02-14,1730,414
STD10,30,25-02-14,1793,416
STD10,30,25-02-14,1693,414
STD10,31,26-02-14,1830,430
STD10,31,26-02-14,1893,431
STD10,31,26-02-14,1865,421
STD10,32,26-02-14,1993,425
STD10,32,26-02-14,1930,425
STD10,32,26-02-14,2030,423
STD10,32,26-02-14,1965,416
STD10,33,26-02-14,2130,423
STD10,33,26-02-14,2065,416
STD10,33,26-02-14,2093,429
STD10,34,27-02-14,2265,424
STD10,34,27-02-14,2230,421
STD10,34,27-02-14,2193,421
STD10,34,27-02-14,2165,425
STD10,35,27-02-14,2342,427
STD10,35,27-02-14,2330,420
STD10,35,27-02-14,2365,425
STD10,35,27-02-14,2293,429
STD10,35,27-02-14,2393,429
STD10,36,28-02-14,6893,418
STD10,36,28-02-14,6865,418
STD10,36,28-02-14,6830,420
STD10,37,28-02-14,6930,429
STD10,37,28-02-14,6993,435
STD10,37,28-02-14,7030,420
STD10,37,28-02-14,6965,421
STD10,38,01-03-14,7065,435
STD10,38,01-03-14,7093,425
STD10,38,01-03-14,7130,421
STD10,39,01-03-14,7165,419
STD10,39,01-03-14,7265,416
STD10,39,01-03-14,7193,429
STD10,39,01-03-14,7230,429
STD10,40,02-03-14,7365,422
STD10,40,02-03-14,7393,416
STD10,40,02-03-14,7330,420
STD10,40,02-03-14,7293,441
STD10,41,02-03-14,2430,437
STD10,41,02-03-14,2493,429
STD10,41,02-03-14,2465,434
STD10,42,03-03-14,2593,425
STD10,42,03-03-14,2530,428
STD10,42,03-03-14,2630,432
STD10,42,03-03-14,2565,416
STD10,43,03-03-14,2730,425
STD10,43,03-03-14,2665,427
STD10,43,03-03-14,2693,427
STD10,45,04-03-14,2965,425
STD10,45,04-03-14,2893,414
STD10,45,04-03-14,2930,425
STD10,45,04-03-14,2993,420
STD10,46,05-03-14,3065,433
STD10,46,05-03-14,3093,436
STD10,46,05-03-14,3030,429
STD10,47,05-03-14,3230,433
STD10,47,05-03-14,3130,429
STD10,47,05-03-14,3165,429
STD10,47,05-03-14,3193,423
STD10,48,06-03-14,7465,425
STD10,48,06-03-14,7430,425
STD10,48,06-03-14,7493,412
STD10,49,06-03-14,3293,427
STD10,49,06-03-14,3330,429
STD10,49,06-03-14,3265,433
STD10,50,07-03-14,3365,429
STD10,50,07-03-14,3393,431
STD10,50,07-03-14,3430,427
STD10,50,07-03-14,3465,431
STD10,51,07-03-14,3493,422
STD10,51,07-03-14,3565,423
STD10,51,07-03-14,3530,423
STD10,51,07-03-14,3593,444
STD10,52,08-03-14,3630,423
STD10,52,08-03-14,3665,414
STD10,52,08-03-14,3693,425
STD10,53,08-03-14,3765,422
STD10,53,08-03-14,3793,418
STD10,53,08-03-14,3830,422
STD10,53,08-03-14,3730,423
STD10,54,09-03-14,3930,422
